# LHD#191486 "EUV Short2" t = 5.1s
# column 1 : index of line-of-sight
# column 2 : intensity ( CVI 26.990 Å    )
# column 3 : intensity ( CVI 28.465 Å    )
# column 4 : intensity ( CVI 33.737 Å    )
# column 5 : intensity ( W^{24+} 32.41 Å )
# column 6 : intensity ( W^{25+} 30.88 Å )
# column 7 : intensity ( W^{26+} 29.55 Å )
         143        6206        6373       28933       11027        9343        5150
         144        5600        6425       29317       11182        9970        4996
         145        5648        6019       28988       11601       10527        5214
         146        6234        6489       30065       11677       10554        5087
         147        6161        6038       29599       12815       10815        5804
         148        6295        6600       29610       12602       11246        5533
         149        6275        6293       31321       13423       10893        5841
         150        6246        6942       30881       13942       11612        5974
         151        6615        7165       30607       13571       11334        6087
         152        6805        6755       32242       13040       12759        6088
         153        6309        7083       31518       14129       11963        6172
         154        7118        6954       31180       14209       12666        5891
         155        7045        6978       32279       15486       12760        6182
         156        7093        7088       31619       16219       13046        6226
         157        7164        7175       31622       15956       12984        7100
         158        7114        7061       31156       15548       13798        6749
         159        7394        7064       33276       16234       13904        6677
         160        7775        6985       32357       17248       13834        6591
         161        7072        6832       32097       16809       14393        7268
         162        6801        6900       33024       17074       14810        7151
         163        7448        7465       32160       17496       14563        6661
         164        7698        7833       32478       18121       15547        7097
         165        7557        7345       32456       18214       14974        7036
         166        7810        7231       31562       19397       15574        7377
         167        7705        7537       32233       18126       15824        7032
         168        7855        7246       32088       19556       16169        7253
         169        7761        7160       31475       19063       16068        7509
         170        7888        7031       30491       19299       15762        7460
         171        8129        7341       31728       19445       16572        7658
         172        8048        7458       31883       19418       16985        7850
         173        7752        7149       30174       20020       16238        7437
         174        7826        7051       30947       20485       16301        7699
         175        8494        7773       30882       21203       17107        7672
         176        8033        7621       30443       20734       16432        7480
         177        7873        7350       30245       21255       17072        7730
         178        8118        7255       30515       21013       17297        7620
         179        8278        7270       29824       20962       17173        7823
         180        7863        7366       28889       21254       16843        7889
         181        8381        7471       28943       22060       16993        7582
         182        7836        7351       28703       22026       17576        8204
         183        7915        7375       28152       22001       17224        8186
         184        7707        6990       28604       21804       16900        7902
         185        8094        7102       27187       21889       17716        7476
         186        8049        7264       25778       22528       17187        8182
         187        8154        7128       26982       22707       17371        8100
         188        8497        6804       25057       22197       17629        8121
         189        7725        6828       25798       22796       17867        7011
         190        8082        6943       25681       23093       17602        7679
         191        7762        6389       24762       23602       17157        7439
         192        8225        6789       24232       22150       17831        7711
         193        7970        7091       24760       22616       17165        7670
         194        8098        6320       23776       22394       16451        7347
         195        8167        6347       23094       22722       17511        7856
         196        7820        5767       22137       22909       16712        7268
         197        8108        6903       22538       22380       16625        8033
         198        7622        5973       22437       22592       17411        7753
         199        7812        6311       21974       23128       16890        7668
         200        7250        6660       21489       22985       16928        8269
         201        7334        6182       21231       22829       17408        7852
         202        7051        5960       21192       23068       17121        7632
         203        7367        6363       20968       22529       17153        7227
         204        7656        6231       20327       22857       17038        7753
