           1           0
           2      722897
           3      681828
           4      582164
           5      502259
           6      449820
           7      426686
           8      439605
           9     1843757
          10     1613901
          11      499213
          12      498768
          13      578238
          14      711697
          15      777493
          16      820802
          17      745274
          18      661181
          19      607869
          20      540352
          21      471742
          22      451142
          23      415936
          24      427885
          25      479103
          26      408155
          27      432420
          28      439548
          29      502447
          30      581830
          31      739995
          32      483239
          33      426181
          34      388931
          35      356238
          36      345556
          37      329032
          38      326823
          39      320300
          40      322543
          41      335252
          42      344498
          43      379548
          44      542535
          45      760667
          46      453259
          47      455525
          48      540345
          49      389990
          50      443072
          51      466768
          52      405651
          53      510274
          54      584786
          55      634910
          56      618918
          57      580999
          58      586115
          59      623779
          60      553816
          61      540187
          62      566310
          63      564124
          64      689468
          65      914346
          66     1093768
          67     1233811
          68     1116461
          69     1025850
          70     1025369
          71      965477
          72      919529
          73      887349
          74      828339
          75      775583
          76      807377
          77      975514
          78     1254795
          79     1413683
          80     1490160
          81     1500391
          82     1410452
          83     1323014
          84     1276448
          85     1145361
          86     1049042
          87     1005404
          88      955993
          89      945747
          90      957835
          91     1770756
          92     3214490
          93     1342217
          94     1302157
          95     1384393
          96     1273894
          97     1085178
          98      969304
          99      925018
         100      899353
         101      876672
         102      866666
         103      856580
         104      795952
         105      744984
         106      739332
         107      764624
         108      776859
         109      760137
         110      734991
         111      713322
         112      681340
         113      666487
         114      647092
         115      629160
         116      619658
         117      590384
         118      588547
         119      572923
         120      553597
         121      553410
         122      540850
         123      522643
         124      514238
         125      509083
         126      597023
         127      792460
         128      586210
